mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
191212557,8.7,14,0,8.8,13,0,8.0,17,0,8.8,16,0,9.2,9,0,7.6,9,0,9.0,3,0,9.0,12,0,Giỏi
191200838,5.2,14,0,7.1,13,0,7.1,8,9,7.2,16,0,8.3,9,0,7.0,9,0,7.6,3,0,8.9,12,0,Khá
191202568,5.4,11,3,6.9,10,3,6.1,14,3,7.4,14,2,8.2,9,0,6.9,9,0,6.6,3,0,7.9,2,10,Khá
191201669,6.3,14,0,6.2,13,0,5.6,6,11,7.2,13,3,6.7,9,0,5.6,9,0,4.3,3,0,7.2,12,0,Trung bình
191200885,6.2,11,3,5.3,10,3,5.7,14,3,7.1,8,8,6.1,6,3,6.5,6,3,4.9,3,0,7.5,10,2,Trung bình
191200904,7.1,14,0,6.8,13,0,6.6,17,0,7.2,16,0,6.8,9,0,6.7,9,0,8.7,3,0,8.7,12,0,Khá
191211277,8.3,14,0,7.8,13,0,6.4,17,0,8.6,16,0,8.8,9,0,8.6,9,0,8.7,3,0,8.5,12,0,Giỏi
191204033,6.1,14,0,7.0,13,0,5.7,17,0,7.6,16,0,8.8,9,0,7.4,9,0,7.6,3,0,9.2,12,0,Khá
191202148,9.0,14,0,8.3,13,0,7.8,17,0,8.6,16,0,9.0,9,0,8.5,9,0,9.4,3,0,8.9,12,0,Giỏi
191203472,8.3,11,3,7.8,13,0,6.7,17,0,8.2,16,0,8.5,9,0,6.8,9,0,9.0,3,0,8.0,12,0,Khá
191203864,8.7,14,0,8.3,13,0,9.1,17,0,7.8,16,0,8.9,9,0,8.7,9,0,6.5,3,0,9.5,12,0,Giỏi
191201042,7.3,14,0,6.6,13,0,6.3,17,0,7.3,16,0,8.7,9,0,6.2,9,0,7.0,3,0,8.7,12,0,Khá
191203513,7.0,14,0,8.2,13,0,6.3,14,3,7.9,16,0,8.2,9,0,7.1,9,0,8.3,3,0,8.2,12,0,Khá
191203525,7.3,14,0,6.8,13,0,6.9,14,3,6.3,16,0,8.3,9,0,6.2,9,0,5.8,3,0,8.3,12,0,Khá
191241113,8.6,14,0,8.1,13,0,6.8,17,0,8.3,16,0,8.6,6,3,8.3,9,0,10.0,3,0,8.8,12,0,Giỏi
191214394,8.6,14,0,8.0,10,3,5.9,11,6,6.9,12,4,7.3,9,0,6.2,9,0,5.2,3,0,8.5,12,0,Khá
191204400,6.5,14,0,6.3,10,3,6.7,12,5,7.1,16,0,7.7,9,0,6.6,9,0,6.3,3,0,8.6,12,0,Khá
181203458,6.5,11,0,5.9,9,0,7.6,17,0,8.6,14,0,7.8,9,0,9.7,9,0,10.0,3,0,9.0,2,0,Chua xep loai
181202292,6.7,8,3,5.8,9,0,6.2,11,6,6.1,12,2,7.2,9,0,6.9,6,3,8.0,3,0,5.9,2,0,Chua xep loai
181200549,5.1,11,0,6.5,9,0,5.5,17,0,6.9,14,0,5.4,9,0,7.4,9,0,7.6,3,0,8.3,2,0,Chua xep loai
181211817,5.2,8,3,6.4,3,6,5.4,11,6,5.6,14,0,6.4,0,9,1.0,0,9,6.9,3,0,0.0,0,0,Chua xep loai
181200814,6.3,8,3,6.1,6,3,6.2,17,0,6.4,14,0,6.3,6,3,7.3,9,0,8.7,3,0,8.5,2,0,Chua xep loai
181210385,6.2,11,0,5.6,9,0,5.2,14,3,5.1,9,5,4.3,3,6,0.7,0,9,0.0,0,3,0.0,0,0,Chua xep loai
181202377,5.4,11,0,6.0,6,3,4.5,5,12,4.4,0,14,6.4,0,9,3.3,3,6,6.9,3,0,8.7,2,0,Chua xep loai
181202839,5.7,11,0,6.6,9,0,6.0,11,6,6.1,14,0,5.7,9,0,7.2,9,0,8.7,3,0,8.0,12,0,Chua xep loai
181200770,5.9,8,3,6.2,3,6,6.4,5,12,5.7,0,11,4.9,0,9,6.4,6,3,4.7,3,0,9.0,2,0,Chua xep loai
181203140,5.9,11,0,6.7,9,0,6.3,17,0,6.1,14,0,5.7,9,0,7.9,9,0,8.3,3,0,9.5,2,0,Chua xep loai
181202200,7.3,11,0,7.0,9,0,6.3,11,6,5.9,8,6,5.9,6,3,7.1,9,0,7.6,3,0,8.8,2,0,Chua xep loai
181202127,5.4,11,0,6.1,9,0,5.8,14,3,6.3,0,14,5.4,9,0,6.8,9,0,8.0,3,0,7.8,2,0,Chua xep loai
881891002,6.8,8,3,4.4,6,3,5.9,14,3,6.1,12,2,4.2,6,3,1.8,3,6,6.9,3,0,8.8,2,0,Chua xep loai
181202862,6.4,11,0,6.8,9,0,6.1,17,0,5.8,14,0,7.4,6,3,8.3,9,0,8.7,3,0,1.5,2,10,Chua xep loai
181203243,5.7,8,3,5.1,3,6,5.4,8,9,5.0,3,11,6.7,6,3,6.5,6,3,10.0,3,0,0.0,0,0,Chua xep loai
181213616,6.2,11,0,7.1,9,0,6.5,14,3,6.5,14,0,6.0,6,3,6.3,9,0,7.3,3,0,10.0,2,0,Chua xep loai
181202886,5.9,8,3,4.7,6,3,5.7,17,0,5.9,12,2,4.9,6,3,6.5,9,0,6.2,3,0,9.0,2,0,Chua xep loai
181210426,6.5,11,0,5.2,6,3,6.6,14,3,6.0,9,5,5.4,3,6,7.5,9,0,8.7,3,0,1.4,2,10,Chua xep loai
181210042,5.4,11,0,5.7,6,3,5.7,14,3,5.2,9,5,4.6,9,0,6.4,9,0,6.9,3,0,7.7,2,0,Chua xep loai
181202417,6.1,8,3,7.0,9,0,7.0,17,0,6.0,14,0,6.7,9,0,6.6,9,0,7.6,3,0,8.0,2,10,Chua xep loai
181203187,7.3,11,0,7.9,9,0,6.5,17,0,6.7,14,0,5.6,9,0,6.7,9,0,5.5,3,0,0.0,0,0,Chua xep loai
181203530,7.1,11,0,7.2,9,0,6.6,17,0,6.7,12,2,5.0,6,3,6.1,9,0,7.3,3,0,8.0,2,0,Chua xep loai
